"Step","Name: ppo_me_neg30p10 - Training/objective_proportion","Name: ppo_me_neg30p10 - Training/objective_proportion__MIN","Name: ppo_me_neg30p10 - Training/objective_proportion__MAX","Name: ppo_me_neg30p100 - Training/objective_proportion","Name: ppo_me_neg30p100 - Training/objective_proportion__MIN","Name: ppo_me_neg30p100 - Training/objective_proportion__MAX","Name: ppo_me30 - Training/objective_proportion","Name: ppo_me30 - Training/objective_proportion__MIN","Name: ppo_me30 - Training/objective_proportion__MAX"
"27","0","0","0","0.08333333333333336","0.03571428571428571","0.1428571428571429","0.01190476190476191","0","0.035714285714285726"
"28","0","0","0","0.09195402298850579","0.034482758620689655","0.13793103448275867","0.011494252873563223","0","0.03448275862068967"
"29","0","0","0","0.0888888888888889","0.03333333333333333","0.1333333333333334","0.011111111111111115","0","0.03333333333333335"
"30","0","0","0","0.08602150537634412","0.03225806451612903","0.12903225806451618","0.010752688172043015","0","0.032258064516129045"
"31","0","0","0","0.08333333333333337","0.03125","0.12500000000000006","0.010416666666666671","0","0.031250000000000014"
"32","0","0","0","0.08080808080808084","0.030303030303030304","0.12121212121212127","0.010101010101010105","0","0.030303030303030318"
"33","0","0","0","0.07843137254901965","0.029411764705882353","0.11764705882352947","0.009803921568627456","0","0.029411764705882366"
"34","0.009523809523809523","0","0.02857142857142857","0.07619047619047621","0.02857142857142857","0.11428571428571434","0.009523809523809528","0","0.028571428571428584"
"35","0.009259259259259259","0","0.027777777777777776","0.07407407407407411","0.027777777777777776","0.11111111111111116","0.009259259259259264","0","0.02777777777777779"
"36","0.009009009009009009","0","0.027027027027027025","0.0810810810810811","0.05405405405405406","0.10810810810810816","0.009009009009009012","0","0.02702702702702704"
"37","0.008771929824561403","0","0.02631578947368421","0.07894736842105265","0.052631578947368425","0.10526315789473689","0.01754385964912281","0","0.026315789473684223"
"38","0.017094017094017092","0","0.02564102564102564","0.07692307692307694","0.05128205128205129","0.10256410256410262","0.0170940170940171","0","0.025641025641025654"
"39","0.024999999999999998","0","0.05","0.07500000000000002","0.05","0.10000000000000005","0.01666666666666667","0","0.025000000000000012"
"40","0.032520325203252036","0.024390243902439022","0.04878048780487805","0.0731707317073171","0.04878048780487805","0.09756097560975614","0.016260162601626018","0","0.024390243902439036"
"41","0.031746031746031744","0.023809523809523808","0.04761904761904762","0.07142857142857145","0.04761904761904762","0.09523809523809529","0.015873015873015876","0","0.023809523809523822"
"42","0.0310077519379845","0.023255813953488372","0.04651162790697675","0.06976744186046514","0.04651162790697675","0.09302325581395354","0.015503875968992253","0","0.023255813953488386"
"43","0.030303030303030307","0.022727272727272728","0.04545454545454546","0.06818181818181822","0.04545454545454546","0.09090909090909097","0.015151515151515157","0","0.022727272727272742"
"44","0.029629629629629634","0.022222222222222223","0.04444444444444445","0.0666666666666667","0.04444444444444445","0.08888888888888895","0.01481481481481482","0","0.022222222222222237"
"45","0.028985507246376815","0.021739130434782608","0.04347826086956522","0.06521739130434785","0.04347826086956522","0.08695652173913049","0.01449275362318841","0","0.021739130434782622"
"46","0.028368794326241138","0.02127659574468085","0.04255319148936171","0.06382978723404258","0.04255319148936171","0.08510638297872346","0.014184397163120572","0","0.021276595744680864"
"47","0.02777777777777778","0.020833333333333332","0.04166666666666667","0.06250000000000001","0.04166666666666667","0.08333333333333338","0.013888888888888893","0","0.020833333333333346"
"48","0.0272108843537415","0.02040816326530612","0.04081632653061225","0.06122448979591839","0.04081632653061225","0.08163265306122454","0.013605442176870751","0","0.020408163265306135"
"49","0.03333333333333333","0.02","0.04","0.06000000000000002","0.04","0.08000000000000004","0.013333333333333336","0","0.02000000000000001"
"50","0.032679738562091505","0.0196078431372549","0.0392156862745098","0.05882352941176472","0.0392156862745098","0.07843137254901965","0.013071895424836603","0","0.019607843137254912"
"51","0.038461538461538464","0.03846153846153846","0.038461538461538464","0.06410256410256412","0.057692307692307696","0.07692307692307697","0.012820512820512824","0","0.019230769230769242"
"52","0.03773584905660378","0.03773584905660377","0.03773584905660378","0.0628930817610063","0.05660377358490566","0.07547169811320759","0.01257861635220126","0","0.018867924528301896"
"53","0.037037037037037035","0.037037037037037035","0.03703703703703704","0.06790123456790126","0.05555555555555556","0.07407407407407411","0.012345679012345684","0","0.018518518518518528"
"54","0.03636363636363637","0.03636363636363636","0.03636363636363637","0.0666666666666667","0.05454545454545455","0.07272727272727277","0.012121212121212125","0","0.01818181818181819"
"55","0.03571428571428572","0.03571428571428571","0.03571428571428572","0.06547619047619051","0.053571428571428575","0.07142857142857147","0.01190476190476191","0","0.017857142857142867"
"56","0.03508771929824561","0.03508771929824561","0.03508771929824562","0.06432748538011697","0.052631578947368425","0.07017543859649127","0.011695906432748543","0","0.017543859649122816"
"57","0.03448275862068966","0.034482758620689655","0.03448275862068966","0.06321839080459772","0.05172413793103449","0.06896551724137935","0.011494252873563223","0","0.017241379310344838"
"58","0.03389830508474577","0.03389830508474576","0.03389830508474577","0.06214689265536725","0.05084745762711865","0.06779661016949157","0.01129943502824859","0","0.01694915254237289"
"59","0.03333333333333334","0.03333333333333333","0.03333333333333334","0.06111111111111114","0.05","0.06666666666666671","0.011111111111111113","0","0.016666666666666677"
"60","0.03825136612021859","0.03278688524590164","0.049180327868852465","0.06010928961748636","0.049180327868852465","0.06557377049180332","0.010928961748633883","0","0.01639344262295083"
"61","0.03763440860215054","0.03225806451612903","0.048387096774193554","0.05913978494623658","0.048387096774193554","0.0645161290322581","0.021505376344086027","0.016129032258064516","0.032258064516129045"
"62","0.037037037037037035","0.031746031746031744","0.04761904761904762","0.05820105820105822","0.04761904761904762","0.06349206349206353","0.021164021164021166","0.015873015873015872","0.03174603174603176"
"63","0.036458333333333336","0.03125","0.04687500000000001","0.057291666666666685","0.04687500000000001","0.06250000000000004","0.02083333333333334","0.015625","0.031250000000000014"
"64","0.041025641025641026","0.030769230769230774","0.04615384615384616","0.06153846153846155","0.06153846153846154","0.06153846153846158","0.02051282051282052","0.015384615384615385","0.03076923076923078"
"65","0.04040404040404041","0.030303030303030307","0.04545454545454546","0.06565656565656568","0.060606060606060615","0.07575757575757576","0.02525252525252526","0.015151515151515152","0.04545454545454547"
"66","0.03980099502487563","0.02985074626865672","0.044776119402985086","0.06965174129353235","0.059701492537313466","0.0746268656716418","0.024875621890547272","0.014925373134328358","0.04477611940298509"
"67","0.03921568627450981","0.029411764705882356","0.04411764705882354","0.06862745098039218","0.05882352941176474","0.07352941176470588","0.024509803921568634","0.014705882352941176","0.044117647058823546"
"68","0.038647342995169094","0.028985507246376815","0.04347826086956523","0.0676328502415459","0.05797101449275366","0.07246376811594203","0.024154589371980683","0.014492753623188406","0.04347826086956524"
"69","0.038095238095238106","0.028571428571428574","0.04285714285714287","0.07142857142857144","0.07142857142857142","0.07142857142857147","0.02380952380952382","0.014285714285714285","0.04285714285714288"
"70","0.0375586854460094","0.028169014084507046","0.042253521126760576","0.07042253521126761","0.0704225352112676","0.07042253521126764","0.023474178403755874","0.014084507042253521","0.04225352112676058"
"71","0.0462962962962963","0.04166666666666667","0.055555555555555566","0.06944444444444443","0.06944444444444443","0.06944444444444448","0.023148148148148154","0.01388888888888889","0.041666666666666685"
"72","0.04566210045662101","0.04109589041095891","0.054794520547945216","0.06849315068493152","0.0684931506849315","0.06849315068493153","0.02283105022831051","0.013698630136986302","0.04109589041095892"
"73","0.04504504504504505","0.04054054054054054","0.054054054054054064","0.06756756756756756","0.06756756756756756","0.06756756756756759","0.02252252252252253","0.013513513513513514","0.04054054054054056"
"74","0.04444444444444445","0.04","0.053333333333333344","0.07111111111111111","0.06666666666666665","0.08000000000000002","0.022222222222222227","0.013333333333333334","0.040000000000000015"
"75","0.04385964912280702","0.039473684210526314","0.05263157894736843","0.07017543859649122","0.06578947368421051","0.07894736842105264","0.02192982456140351","0.013157894736842106","0.03947368421052633"
"76","0.043290043290043295","0.03896103896103896","0.05194805194805196","0.06926406926406925","0.06493506493506492","0.07792207792207793","0.02164502164502165","0.012987012987012988","0.038961038961038974"
"77","0.04273504273504274","0.038461538461538464","0.051282051282051294","0.06837606837606837","0.06410256410256408","0.07692307692307694","0.021367521367521375","0.012820512820512822","0.03846153846153848"
"78","0.04641350210970465","0.0379746835443038","0.050632911392405076","0.06751054852320675","0.0632911392405063","0.07594936708860761","0.021097046413502116","0.012658227848101267","0.03797468354430381"
"79","0.04583333333333334","0.0375","0.05000000000000001","0.06666666666666665","0.06249999999999998","0.07500000000000001","0.02083333333333334","0.0125","0.03750000000000001"
"80","0.04526748971193415","0.037037037037037035","0.04938271604938273","0.06584362139917695","0.06172839506172838","0.07407407407407408","0.020576131687242802","0.01234567901234568","0.03703703703703705"
"81","0.044715447154471545","0.036585365853658534","0.04878048780487806","0.06504065040650407","0.060975609756097546","0.07317073170731708","0.020325203252032523","0.012195121951219513","0.03658536585365855"
"82","0.048192771084337345","0.03614457831325301","0.06024096385542169","0.06425702811244978","0.06024096385542167","0.07228915662650603","0.020080321285140566","0.012048192771084338","0.036144578313253024"
"83","0.04761904761904762","0.03571428571428571","0.05952380952380953","0.06746031746031744","0.05952380952380951","0.07142857142857144","0.019841269841269844","0.011904761904761906","0.035714285714285726"
"84","0.04705882352941177","0.03529411764705882","0.05882352941176471","0.06666666666666665","0.05882352941176469","0.07058823529411766","0.019607843137254905","0.011764705882352943","0.03529411764705884"
"85","0.04651162790697675","0.03488372093023256","0.058139534883720936","0.06589147286821705","0.058139534883720916","0.06976744186046513","0.019379844961240313","0.011627906976744188","0.03488372093023257"
"86","0.04597701149425288","0.034482758620689655","0.0574712643678161","0.07279693486590037","0.0689655172413793","0.08045977011494251","0.01915708812260537","0.01149425287356322","0.03448275862068967"
"87","0.04545454545454546","0.03409090909090909","0.05681818181818182","0.07575757575757575","0.06818181818181816","0.07954545454545456","0.018939393939393947","0.011363636363636366","0.0340909090909091"
"88","0.0449438202247191","0.033707865168539325","0.05617977528089888","0.0749063670411985","0.06741573033707864","0.07865168539325844","0.022471910112359553","0.011235955056179777","0.03370786516853934"
"89","0.044444444444444446","0.03333333333333333","0.05555555555555556","0.07407407407407407","0.06666666666666665","0.07777777777777779","0.022222222222222227","0.011111111111111113","0.03333333333333335"
"90","0.04395604395604396","0.03296703296703297","0.05494505494505495","0.07326007326007326","0.06593406593406592","0.07692307692307694","0.021978021978021983","0.010989010989010992","0.03296703296703298"
"91","0.04347826086956522","0.03260869565217391","0.05434782608695653","0.07246376811594203","0.06521739130434781","0.07608695652173915","0.025362318840579722","0.010869565217391308","0.04347826086956523"
"92","0.04301075268817205","0.03225806451612903","0.05376344086021506","0.07168458781362007","0.06451612903225805","0.07526881720430109","0.02508960573476703","0.010752688172043013","0.04301075268817205"
"93","0.04255319148936171","0.031914893617021274","0.053191489361702135","0.07092198581560283","0.06382978723404253","0.07446808510638299","0.024822695035461","0.010638297872340429","0.042553191489361715"
"94","0.042105263157894736","0.03157894736842105","0.052631578947368425","0.07017543859649121","0.0631578947368421","0.0736842105263158","0.024561403508771937","0.010526315789473687","0.04210526315789475"
"95","0.041666666666666664","0.031249999999999993","0.052083333333333336","0.06944444444444443","0.062499999999999986","0.07291666666666667","0.024305555555555563","0.01041666666666667","0.04166666666666668"
"96","0.04467353951890035","0.030927835051546386","0.061855670103092786","0.06872852233676975","0.06185567010309277","0.07216494845360825","0.024054982817869424","0.010309278350515467","0.04123711340206187"
