"Step","Name: DDQN=2baseline - Training/objective_proportion","Name: DDQN=2baseline - Training/objective_proportion__MIN","Name: DDQN=2baseline - Training/objective_proportion__MAX","Name: ppo_me_neg30p10 - Training/objective_proportion","Name: ppo_me_neg30p10 - Training/objective_proportion__MIN","Name: ppo_me_neg30p10 - Training/objective_proportion__MAX"
"0","0","0","0","0","0","0"
"1","0.16666666666666666","0","0.5","0","0","0"
"2","0.11111111111111112","0","0.33333333333333337","0","0","0"
"3","0.08333333333333333","0","0.25","0","0","0"
"4","0.06666666666666667","0","0.2","0","0","0"
"5","0.05555555555555556","0","0.16666666666666669","0","0","0"
"6","0.04761904761904762","0","0.14285714285714288","0","0","0"
"7","0.04166666666666668","0","0.12500000000000003","0","0","0"
"8","0.11111111111111112","0","0.22222222222222227","0","0","0"
"9","0.10000000000000002","0","0.20000000000000004","0","0","0"
"10","0.09090909090909093","0","0.18181818181818185","0","0","0"
"11","0.08333333333333333","0","0.16666666666666669","0","0","0"
"12","0.07692307692307693","0","0.15384615384615385","0","0","0"
"13","0.07142857142857144","0","0.14285714285714288","0","0","0"
"14","0.06666666666666667","0","0.13333333333333336","0","0","0"
"15","0.06250000000000001","0","0.12500000000000003","0","0","0"
"16","0.07843137254901962","0.058823529411764705","0.11764705882352944","0","0","0"
"17","0.07407407407407408","0.05555555555555555","0.11111111111111113","0","0","0"
"18","0.07017543859649124","0.05263157894736842","0.10526315789473686","0","0","0"
"19","0.08333333333333333","0.049999999999999996","0.10000000000000002","0","0","0"
"20","0.07936507936507937","0.047619047619047616","0.09523809523809526","0","0","0"
"21","0.07575757575757576","0.04545454545454545","0.09090909090909093","0","0","0"
"22","0.07246376811594203","0.04347826086956521","0.08695652173913045","0","0","0"
"23","0.06944444444444445","0.04166666666666666","0.08333333333333334","0","0","0"
"24","0.08","0.039999999999999994","0.12","0","0","0"
"25","0.07794871794871795","0.03846153846153846","0.11538461538461538","0","0","0"
"26","0.07506172839506174","0.037037037037037035","0.1111111111111111","0","0","0"
"27","0.07238095238095238","0.03571428571428571","0.10714285714285714","0","0","0"
"28","0.06988505747126438","0.034482758620689655","0.10344827586206896","0","0","0"
"29","0.06755555555555555","0.03333333333333333","0.1","0","0","0"
"30","0.06537634408602151","0.03225806451612903","0.09677419354838711","0","0","0"
"31","0.06333333333333334","0.03125","0.09375000000000001","0","0","0"
"32","0.06141414141414143","0.030303030303030304","0.09090909090909093","0","0","0"
"33","0.059607843137254916","0.029411764705882353","0.08823529411764708","0","0","0"
"34","0.057904761904761924","0.02857142857142857","0.08571428571428573","0.009523809523809523","0","0.02857142857142857"
"35","0.05629629629629631","0.027777777777777776","0.08333333333333334","0.009259259259259259","0","0.027777777777777776"
"36","0.05477477477477478","0.027027027027027025","0.08108108108108109","0.009009009009009009","0","0.027027027027027025"
"37","0.05333333333333334","0.02631578947368421","0.07894736842105264","0.008771929824561403","0","0.02631578947368421"
"38","0.051965811965811966","0.02564102564102564","0.07692307692307693","0.017094017094017092","0","0.02564102564102564"
"39","0.05900000000000002","0.05","0.07500000000000001","0.024999999999999998","0","0.05"
"40","0.0656910569105691","0.04878048780487805","0.0751219512195122","0.032520325203252036","0.024390243902439022","0.04878048780487805"
"41","0.06412698412698413","0.04761904761904762","0.07333333333333335","0.031746031746031744","0.023809523809523808","0.04761904761904762"
"42","0.06263565891472869","0.04651162790697675","0.0716279069767442","0.0310077519379845","0.023255813953488372","0.04651162790697675"
"43","0.0687878787878788","0.04545454545454546","0.09272727272727274","0.030303030303030307","0.022727272727272728","0.04545454545454546"
"44","0.06725925925925928","0.04444444444444445","0.09066666666666669","0.029629629629629634","0.022222222222222223","0.04444444444444445"
"45","0.06579710144927538","0.04347826086956522","0.08869565217391306","0.028985507246376815","0.021739130434782608","0.04347826086956522"
"46","0.06439716312056738","0.04255319148936171","0.08680851063829789","0.028368794326241138","0.02127659574468085","0.04255319148936171"
"47","0.07","0.0625","0.08500000000000002","0.02777777777777778","0.020833333333333332","0.04166666666666667"
"48","0.07537414965986396","0.061224489795918366","0.10367346938775512","0.0272108843537415","0.02040816326530612","0.04081632653061225"
"49","0.0742748299319728","0.06000000000000001","0.10160000000000002","0.03333333333333333","0.02","0.04"
"50","0.0793544084300387","0.060024009603841535","0.09960784313725493","0.032679738562091505","0.0196078431372549","0.0392156862745098"
"51","0.08423861852433283","0.05886970172684458","0.09769230769230772","0.038461538461538464","0.03846153846153846","0.038461538461538464"
"52","0.0826492106276473","0.05775895263765883","0.0958490566037736","0.03773584905660378","0.03773584905660377","0.03773584905660378"
"53","0.08111866969009827","0.056689342403628114","0.09407407407407409","0.037037037037037035","0.037037037037037035","0.03703703703703704"
"54","0.07964378478664194","0.055658627087198514","0.09236363636363638","0.03636363636363637","0.03636363636363636","0.03636363636363637"
"55","0.07822157434402334","0.05466472303206997","0.09071428571428573","0.03571428571428572","0.03571428571428571","0.03571428571428572"
"56","0.07737975892111232","0.05370569280343716","0.09071428571428573","0.03508771929824561","0.03508771929824561","0.03508771929824562"
"57","0.07635427855352668","0.05370569280343716","0.08915024630541873","0.03448275862068966","0.034482758620689655","0.03448275862068966"
"58","0.07506013823906012","0.05279542682371789","0.08763922518159807","0.03389830508474577","0.03389830508474576","0.03389830508474577"
"59","0.07380913593507579","0.0519155030433226","0.08617857142857144","0.03333333333333334","0.03333333333333333","0.03333333333333334"
"60","0.07806363097439149","0.06745787184589108","0.08476580796252928","0.03825136612021859","0.03278688524590164","0.049180327868852465"
"61","0.07680454015222389","0.06636984165482833","0.08339861751152074","0.03763440860215054","0.03225806451612903","0.048387096774193554"
"62","0.08087642575827324","0.07936507936507937","0.08207482993197279","0.037037037037037035","0.031746031746031744","0.04761904761904762"
"63","0.07961273160580022","0.07812500000000001","0.08079241071428572","0.036458333333333336","0.03125","0.04687500000000001"
"64","0.07838792035032638","0.07692307692307694","0.07954945054945056","0.041025641025641026","0.030769230769230774","0.04615384615384616"
"65","0.07720022458744265","0.07575757575757577","0.07834415584415585","0.04040404040404041","0.030303030303030307","0.04545454545454546"
"66","0.07604798242942111","0.07462686567164181","0.07717484008528785","0.03980099502487563","0.02985074626865672","0.044776119402985086"
"67","0.07492962974663551","0.0735294117647059","0.07603991596638657","0.03921568627450981","0.029411764705882356","0.04411764705882354"
"68","0.07384369308364079","0.07246376811594205","0.07493788819875778","0.038647342995169094","0.028985507246376815","0.04347826086956523"
"69","0.07278878318244592","0.07142857142857144","0.07386734693877553","0.038095238095238106","0.028571428571428574","0.04285714285714287"
"70","0.0717635890531157","0.07042253521126761","0.07282696177062375","0.0375586854460094","0.028169014084507046","0.042253521126760576"
"71","0.07076687253848908","0.06944444444444445","0.07181547619047621","0.0462962962962963","0.04166666666666667","0.055555555555555566"
"72","0.06979746332563307","0.0684931506849315","0.07083170254403133","0.04566210045662101","0.04109589041095891","0.054794520547945216"
"73","0.06885425436177316","0.06756756756756756","0.06987451737451739","0.04504504504504505","0.04054054054054054","0.054054054054054064"
"74","0.06793619763694951","0.06666666666666665","0.06894285714285715","0.04444444444444445","0.04","0.053333333333333344"
"75","0.06704230029962123","0.06578947368421051","0.0680357142857143","0.04385964912280702","0.039473684210526314","0.05263157894736843"
"76","0.06617162107495084","0.06493506493506492","0.06715213358070501","0.043290043290043295","0.03896103896103896","0.05194805194805196"
"77","0.06532326695860531","0.06410256410256408","0.0662912087912088","0.04273504273504274","0.038461538461538464","0.051282051282051294"
