"Step","Name: DDQN=2pos_p - Training/objective_proportion","Name: DDQN=2pos_p - Training/objective_proportion__MIN","Name: DDQN=2pos_p - Training/objective_proportion__MAX","Name: DDQN=2high_r - Training/objective_proportion","Name: DDQN=2high_r - Training/objective_proportion__MIN","Name: DDQN=2high_r - Training/objective_proportion__MAX","Name: DDQN=2baseline - Training/objective_proportion","Name: DDQN=2baseline - Training/objective_proportion__MIN","Name: DDQN=2baseline - Training/objective_proportion__MAX"
"0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0.16666666666666666","0","0.5"
"2","0.1111111111111111","0","0.3333333333333333","0","0","0","0.11111111111111112","0","0.33333333333333337"
"3","0.08333333333333333","0","0.25","0","0","0","0.08333333333333333","0","0.25"
"4","0.06666666666666667","0","0.2","0.06666666666666667","0","0.2","0.06666666666666667","0","0.2"
"5","0.05555555555555556","0","0.16666666666666669","0.05555555555555556","0","0.16666666666666669","0.05555555555555556","0","0.16666666666666669"
"6","0.04761904761904762","0","0.14285714285714288","0.09523809523809523","0","0.14285714285714288","0.04761904761904762","0","0.14285714285714288"
"7","0.08333333333333333","0","0.12500000000000003","0.08333333333333333","0","0.12500000000000003","0.04166666666666668","0","0.12500000000000003"
"8","0.11111111111111112","0.1111111111111111","0.11111111111111113","0.07407407407407408","0","0.11111111111111113","0.11111111111111112","0","0.22222222222222227"
"9","0.09999999999999999","0.09999999999999999","0.10000000000000002","0.09999999999999999","0","0.19999999999999998","0.10000000000000002","0","0.20000000000000004"
"10","0.0909090909090909","0.0909090909090909","0.09090909090909093","0.0909090909090909","0","0.1818181818181818","0.09090909090909093","0","0.18181818181818185"
"11","0.08333333333333333","0.08333333333333333","0.08333333333333334","0.1388888888888889","0.08333333333333333","0.25","0.08333333333333333","0","0.16666666666666669"
"12","0.07692307692307691","0.07692307692307691","0.07692307692307693","0.12820512820512822","0.07692307692307691","0.23076923076923078","0.07692307692307693","0","0.15384615384615385"
"13","0.07142857142857144","0.07142857142857142","0.07142857142857144","0.11904761904761907","0.07142857142857142","0.2142857142857143","0.07142857142857144","0","0.14285714285714288"
"14","0.06666666666666667","0.06666666666666667","0.06666666666666668","0.13333333333333333","0.06666666666666668","0.2","0.06666666666666667","0","0.13333333333333336"
"15","0.0625","0.0625","0.06250000000000001","0.125","0.06250000000000001","0.1875","0.06250000000000001","0","0.12500000000000003"
"16","0.05882352941176471","0.058823529411764705","0.05882352941176472","0.11764705882352942","0.05882352941176472","0.17647058823529413","0.07843137254901962","0.058823529411764705","0.11764705882352944"
"17","0.05555555555555556","0.05555555555555555","0.055555555555555566","0.11111111111111112","0.055555555555555566","0.16666666666666669","0.07407407407407408","0.05555555555555555","0.11111111111111113"
"18","0.05263157894736842","0.05263157894736842","0.05263157894736843","0.10526315789473685","0.05263157894736843","0.15789473684210528","0.07017543859649124","0.05263157894736842","0.10526315789473686"
"19","0.049999999999999996","0.049999999999999996","0.05000000000000001","0.11666666666666665","0.05000000000000001","0.2","0.08333333333333333","0.049999999999999996","0.10000000000000002"
"20","0.047619047619047616","0.047619047619047616","0.04761904761904763","0.126984126984127","0.04761904761904763","0.2380952380952381","0.07936507936507937","0.047619047619047616","0.09523809523809526"
"21","0.04545454545454545","0.04545454545454545","0.04545454545454546","0.13636363636363638","0.0909090909090909","0.2272727272727273","0.07575757575757576","0.04545454545454545","0.09090909090909093"
"22","0.057971014492753624","0.04347826086956521","0.08695652173913043","0.14492753623188406","0.08695652173913042","0.2173913043478261","0.07246376811594203","0.04347826086956521","0.08695652173913045"
"23","0.05555555555555555","0.04166666666666666","0.08333333333333333","0.1388888888888889","0.08333333333333331","0.20833333333333334","0.06944444444444445","0.04166666666666666","0.08333333333333334"
"24","0.05333333333333334","0.039999999999999994","0.08","0.13333333333333333","0.07999999999999999","0.2","0.08","0.039999999999999994","0.12"
"25","0.05128205128205129","0.03846153846153846","0.07692307692307693","0.12820512820512822","0.07692307692307691","0.19230769230769232","0.07794871794871795","0.03846153846153846","0.11538461538461538"
"26","0.04938271604938272","0.037037037037037035","0.07407407407407408","0.12345679012345678","0.07407407407407407","0.1851851851851852","0.07506172839506174","0.037037037037037035","0.1111111111111111"
"27","0.05952380952380953","0.035714285714285726","0.07142857142857144","0.11904761904761903","0.07142857142857142","0.17857142857142858","0.07238095238095238","0.03571428571428571","0.10714285714285714"
"28","0.0697865353037767","0.06896551724137931","0.07142857142857144","0.1149425287356322","0.06896551724137931","0.1724137931034483","0.06988505747126438","0.034482758620689655","0.10344827586206896"
"29","0.06746031746031747","0.06666666666666667","0.06904761904761905","0.11111111111111112","0.06666666666666667","0.16666666666666669","0.06755555555555555","0.03333333333333333","0.1"
"30","0.065284178187404","0.06451612903225806","0.06682027649769585","0.10752688172043012","0.06451612903225806","0.16129032258064518","0.06537634408602151","0.03225806451612903","0.09677419354838711"
"31","0.06324404761904762","0.0625","0.06473214285714286","0.10416666666666669","0.0625","0.15625000000000003","0.06333333333333334","0.03125","0.09375000000000001"
"32","0.06132756132756134","0.06060606060606061","0.06277056277056278","0.11111111111111112","0.09090909090909091","0.15151515151515155","0.06141414141414143","0.030303030303030304","0.09090909090909093"
